Código;Ação;Tipo;Qtde. Teórica;Part. (%)
RRRP3;3R PETROLEUM;ON      NM;235.661.666;2,697;
TTEN3;3TENTOS;ON      NM;113.777.586;0,442;
ABCB4;ABC BRASIL;PN      N2;66.485.201;0,514;
AERI3;AERIS;ON      NM;214.066.952;0,069;
AESB3;AES BRASIL;ON      NM;317.103.937;1,234;
AALR3;ALLIAR;ON      NM;5.721.492;0,021;
ALOS3;ALLOS;ON      NM;532.616.595;4,721;
ALPA4;ALPARGATAS;PN  ATZ N1;208.965.950;0,666;
ALUP11;ALUPAR;UNT ED  N2;145.652.351;1,507;
AMBP3;AMBIPAR;ON      NM;97.960.040;0,536;
ANIM3;ANIMA;ON      NM;256.834.750;0,341;
ARZZ3;AREZZO CO;ON      NM;62.305.891;1,320;
ARML3;ARMAC;ON      NM;171.399.108;0,931;
AZUL4;AZUL;PN      N2;327.593.725;2,044;
BPAN4;BANCO PAN;PN      N1;327.696.379;0,912;
BRSR6;BANRISUL;PNB     N1;202.191.040;0,822;
BMOB3;BEMOBI TECH;ON      NM;83.609.718;0,387;
BLAU3;BLAU;ON      NM;29.830.740;0,171;
BRAP4;BRADESPAR;PN  EDJ N1;251.003.438;2,175;
AGRO3;BRASILAGRO;ON      NM;59.736.251;0,519;
CAML3;CAMIL;ON      NM;97.829.997;0,263;
BHIA3;CASAS BAHIA;ON      NM;2.361.578.440;0,446;
CBAV3;CBA;ON      NM;209.089.947;0,306;
CEAB3;CEA MODAS;ON      NM;103.292.235;0,286;
CIEL3;CIELO;ON      NM;1.095.462.329;1,468;
CLSA3;CLEARSALE;ON      NM;56.086.865;0,078;
COGN3;COGNA ON;ON  ATZ NM;1.815.524.541;1,890;
CSMG3;COPASA;ON      NM;188.469.206;1,224;
CURY3;CURY S/A;ON      NM;120.291.325;0,684;
CVCB3;CVC BRASIL;ON      NM;443.905.649;0,527;
CYRE3;CYRELA REALT;ON      NM;265.784.616;1,951;
DASA3;DASA;ON      NM;142.275.891;0,470;
DXCO3;DEXCO;ON      NM;303.055.637;0,769;
PNVL3;DIMED;ON      NM;71.294.090;0,298;
DIRR3;DIRECIONAL;ON      NM;107.596.799;0,710;
ECOR3;ECORODOVIAS;ON  ED  NM;333.657.615;1,001;
EMBR3;EMBRAER;ON      NM;734.632.705;5,244;
ENAT3;ENAUTA PART;ON      NM;144.355.359;0,807;
ESPA3;ESPACOLASER;ON      NM;188.667.444;0,089;
EVEN3;EVEN;ON      NM;198.958.240;0,481;
EZTC3;EZTEC;ON  ED  NM;91.514.307;0,571;
FESA4;FERBASA;PN      N1;40.495.100;0,668;
FLRY3;FLEURY;ON      NM;345.269.967;2,074;
FRAS3;FRAS-LE;ON      N1;89.492.359;0,495;
GFSA3;GAFISA;ON      NM;61.184.833;0,138;
GOAU4;GERDAU MET;PN  ED  N1;660.411.219;2,458;
GOLL4;GOL;PN      N2;198.184.909;0,643;
GGPS3;GPS;ON      NM;366.447.063;2,331;
GRND3;GRENDENE;ON  EDJ NM;268.150.259;0,623;
SBFG3;GRUPO SBF;ON      NM;146.019.325;0,514;
SOMA3;GRUPO SOMA;ON      NM;496.029.967;1,158;
GUAR3;GUARARAPES;ON      NM;81.927.760;0,174;
HBSA3;HIDROVIAS;ON      NM;759.856.429;0,973;
IGTI11;IGUATEMI S.A;UNT     N1;217.622.138;1,710;
